V11, V05, V04, V07, V06, V01, V00, V03, V24, V28, V09, V08, V23, V22, V21, V20, V27, V26, V18, V19, V25, V12, V13, V10, V02, V16, V17, V14, V15
163.621130329, 124.566182333, 114.411807316, 94.2499595974, 132.441006044, 95.792807784, 92.8735225228, 112.912754082, 31.3778314272, 174.319593615, 280.049846076, 736.269553122, 142.735421696, 75.4653149413, 123.430029937, 193.239847372, 137.816070732, 303.034682563, 179.475166178, 843.768605692, 106.756666071, 127.598269725, 145.691492927, 112.791261094, 107.123420648, 206.463876866, 162.855807601, 161.807789046, 124.473408784
156.463176753, 159.768886024, 116.525046246, 95.1213863126, 104.185508008, 134.879382382, 92.6392146194, 112.445825345, 861.517169331, 203.603735704, 544.951176974, 768.941869853, 126.690841654, 63.7860366108, 163.481339837, 196.201507404, 93.2455201971, 119.780611518, 217.774053958, 201.559735297, 113.330543918, 142.370525924, 141.071666601, 94.9751332726, 112.013183548, 398.957199392, 138.967299049, 50.2640087195, 121.525237383
147.88575855, 147.563735898, 121.595541409, 91.0693083256, 129.237477234, 145.788487856, 105.032169464, 109.233986123, 813.343156366, 132.79169579, 77.3074801418, 172.285979197, 129.621731232, 67.5228500008, 127.206913893, 190.082990318, 144.877707628, 567.051389453, 110.005582187, 409.978726858, 113.602013725, 145.651895484, 153.442162206, 105.471991075, 107.684938196, 495.485059107, 150.051635933, 137.643286016, 119.999313421
188.012759213, 144.124324262, 123.71228135, 87.943348131, 144.069939885, 99.5229515926, 137.969885488, 78.3145121914, 962.671187335, 171.03944156, 96.2656992193, 997.326131837, 137.15481134, 81.0185974223, 164.646825724, 107.896377393, 124.789000248, 330.864483594, 302.014125141, 474.339458894, 122.335547487, 130.16893557, 134.103773438, 102.214935622, 122.719793625, 439.562969662, 159.397824272, 130.105138835, 109.442333929
111.271294765, 140.41248393, 120.527301888, 88.6460625865, 215.976009656, 86.4621265143, 81.8581044321, 76.3384958051, 529.921556749, 175.181653679, 399.570560276, 164.716193862, 125.709536358, 66.2988925976, 145.052852496, 151.588509599, 135.466184343, 8.55197626026, 175.014883825, 266.110327531, 106.392351247, 135.982985873, 159.993599699, 107.326274606, 117.462710166, 252.445791798, 183.567389282, 115.806520168, 119.606065528
139.039564603, 169.885908632, 145.473160574, 100.41685995, 186.942259269, 71.5598948791, 122.224468237, 97.4296095909, 55.0569046332, 131.421437943, 198.3543879, 557.861657774, 127.297267948, 106.675916319, 132.141786673, 157.32824334, 84.3523958556, 163.716509332, 177.60612405, 626.990926111, 75.1391519243, 138.131770565, 142.017365085, 98.1978553394, 112.269734187, 291.930256106, 116.975296108, 123.330564309, 126.369979066
144.375399516, 129.152536555, 143.376715417, 108.295647072, 156.264284319, 86.522611481, 70.8990115428, 101.078939619, 923.460033392, 170.022398416, 283.168791392, 772.51269062, 102.09986969, 107.117241783, 126.319875529, 167.13160298, 113.611344301, 566.77479738, 334.644288964, 522.525325802, 92.6840823922, 135.451835184, 128.427111372, 106.567244007, 119.333905325, 160.18351989, 125.574917577, 105.755309473, 132.71261111
184.563099027, 173.444279718, 103.576931718, 82.8503333638, 62.2506898183, 142.631869435, 88.7827404441, 105.569030263, 843.344416277, 122.9514907, 223.21884668, 475.796740444, 117.613751031, 3.1108690728, 141.969266845, 192.36583087, 79.0556530774, 600.952586113, 180.874506131, 15.2589146028, 112.848008957, 157.232604338, 144.177747662, 95.0823404115, 135.543027582, 180.101459786, 157.006598076, 76.8515886664, 122.905420196
148.087354291, 131.376643922, 122.277537731, 92.8062495863, 157.903408081, 72.176275518, 173.366757731, 105.58874961, 288.195101783, 158.458830355, 229.657900354, 326.459054045, 152.476551698, 31.2601550968, 137.989122937, 162.371663582, 128.656126604, 311.254694402, 210.02824025, 596.263263612, 125.09009739, 147.114424047, 147.241821363, 95.4438854639, 136.257212607, 343.871730017, 121.653642649, 129.474624105, 108.696029161
117.078071059, 137.973452332, 120.929909135, 100.160697758, 109.549783017, 90.1052804769, 129.5257914, 91.1010573631, 184.876357369, 156.871476783, 303.001997823, 410.886281864, 127.697817787, 126.685060858, 133.142436457, 240.573344823, 72.5548169754, 571.396444335, 190.658111312, 365.158472152, 121.410372853, 131.429176598, 154.408500205, 98.7096540953, 125.047566502, 519.637105967, 146.086803501, 86.7916132984, 116.32541537
144.956101535, 128.44692854, 152.45395752, 114.698677281, 182.819758982, 71.8934214841, 121.302701792, 83.6523012238, 384.900194916, 211.019179385, 107.1476739, 136.977082637, 131.449226555, 77.9614423678, 152.256563453, 207.909003704, 114.704620064, 589.664151206, 263.137506812, 467.351933145, 93.4953090626, 127.638352744, 172.597069216, 99.853427059, 140.674421611, 195.465738643, 154.990362174, 124.112879825, 102.95329251
162.581287313, 158.6617612, 113.804273249, 80.0871567154, 132.93318171, 23.6017016852, 83.0837817246, 80.7767541158, 467.238083863, 129.323034994, 55.3083683009, 664.252607986, 110.339559093, 84.0239927383, 153.002115259, 35.5487955991, 73.3463579369, 32.7075724386, 276.146171556, 630.633111495, 84.2961102892, 146.10819797, 155.33059109, 112.745970408, 133.520159097, 283.051658685, 163.907948392, 81.6074305515, 106.455116396
140.744908133, 137.58010072, 146.770348651, 103.413229174, 86.4055851807, 118.733020439, 72.7874136346, 105.403426724, 979.684948915, 174.078884492, 256.843861911, 173.913358536, 92.4512967951, 85.5323996253, 162.525456303, 182.674970135, 120.67984043, 129.172105318, 154.537876324, 934.975836085, 114.873327449, 151.269060445, 137.551858938, 100.6269942, 125.688424874, 267.067865204, 154.307711323, 100.057861374, 103.407224311
127.83148598, 167.289996354, 129.491378228, 67.3594401707, 108.477698115, 84.8475588085, 112.185134889, 76.1278607001, 49.7889677638, 134.445099219, 118.622372643, 972.254172165, 123.251776559, 62.8907151389, 141.171606557, 212.250663424, 114.09778811, 221.54154451, 219.555418408, 331.336830239, 124.156234538, 136.701745548, 170.827610235, 78.5341273329, 97.3338881709, 404.788743668, 153.90644288, 131.399144497, 138.251640033
