V11, V05, V04, V07, V06, V01, V00, V03, V24, V28, V09, V08, V23, V22, V21, V20, V27, V26, V18, V19, V25, V12, V13, V10, V02, V16, V17, V14, V15
161.858319803, 158.209250593, 132.759851783, 88.6911201205, 158.485900422, 179.624587838, 78.5618487284, 130.662618451, 388.858733458, 145.30541572, 76.9701125053, 983.62110402, 157.40784992, 150.193664907, 145.114931094, 152.109077709, 172.159967258, 818.934837563, 158.589793843, 154.649438058, 145.21322792, 147.665778826, 144.336749127, 98.3515554402, 116.568926191, 144.744955315, 131.95904954, 202.056590684, 144.555407049
169.15357375, 133.839990769, 129.873469339, 110.640891995, 156.051511435, 122.351768108, 75.6358841434, 126.193789255, 388.377972559, 183.26395218, 21.1036446517, 822.494740318, 163.948878864, 203.400997069, 162.874694378, 163.115023258, 167.946630834, 658.934505909, 264.536161724, 163.40154988, 162.951478342, 163.439642624, 161.820282498, 81.6941800147, 121.418698299, 162.752574394, 144.584128253, 168.370850039, 162.391778108
204.497860485, 162.862703908, 148.213481552, 79.5553331407, 180.575422416, 100.434687093, 55.2767087987, 134.529225179, 424.441873692, 176.917924929, 67.3579957417, 672.884915362, 172.339981386, 181.079151967, 167.849877599, 172.299547064, 174.528582075, 411.029171764, 190.48424722, 172.310696659, 170.143631156, 170.954230443, 165.266990552, 98.6114417039, 99.2682274166, 166.930621818, 152.34177888, 174.840001335, 166.161758882
171.213892177, 149.576045293, 137.848202318, 78.2187555139, 160.395741906, 136.539068671, 85.1861688075, 97.9677281399, 239.639777708, 172.505286038, 20.7151678679, 282.048351157, 146.116660279, 156.573781949, 145.966182664, 146.061234855, 152.649913492, 987.517881787, 275.007876253, 146.116660245, 146.005844664, 149.040155139, 144.080722408, 94.3736958343, 95.5697539464, 145.823693669, 113.032527818, 168.161345726, 145.594343596
179.703881087, 140.218956994, 126.579116815, 118.067902178, 159.22443413, 143.867152379, 70.7516306529, 118.862871393, 665.356068343, 158.229678922, 54.5747577398, 905.751240895, 147.20854887, 165.827133702, 131.610567964, 144.674409625, 148.130917463, 823.349379315, 239.525422636, 144.826550245, 131.622690704, 135.206377479, 131.495119503, 107.481967059, 118.27563718, 131.552186456, 122.742716882, 165.496308951, 131.54530159
145.306768534, 126.448466056, 121.452776426, 92.0837483472, 143.035035384, 131.085792289, 34.980701255, 110.973827275, 305.738567615, 147.504069724, 27.408662696, 797.418845878, 146.505508915, 173.728546075, 143.374300889, 146.282064632, 149.731782587, 638.825931873, 193.820236977, 146.395665407, 146.893153787, 164.250530828, 135.67359634, 110.389478491, 110.633193908, 142.724891535, 134.980631885, 171.719891237, 139.179869862
144.643605124, 122.493607991, 120.923576887, 88.0444299465, 138.245691117, 115.674459719, 85.6772400254, 108.396917165, 793.946301847, 168.813229715, 64.7063714862, 361.696922505, 180.906862293, 164.724038376, 156.508615279, 177.67666991, 182.377721179, 979.005290769, 200.025668099, 180.259771057, 164.424054285, 146.721952377, 143.166602582, 98.1430523608, 99.8191131675, 147.662019107, 136.212156511, 151.396336664, 145.966712488
171.612166974, 141.952555612, 133.793643414, 93.0021921974, 148.955899788, 159.379165182, 56.5042125224, 123.898837137, 842.561405538, 173.944143621, 90.6658696579, 788.496465647, 155.574104667, 190.986714319, 150.274337346, 154.492050332, 179.669095417, 195.482093889, 203.67166363, 154.694018958, 152.246834142, 147.620181165, 147.21977772, 96.5322000344, 123.701182556, 150.261529332, 143.290675238, 161.584715987, 150.22629064
170.985338127, 158.507686707, 132.645581197, 92.7080516384, 163.923756164, 120.103653377, 100.201406914, 117.219980004, 766.025814631, 198.651072521, 67.9354297411, 491.119409019, 173.507329319, 175.430656174, 170.505187547, 172.382619157, 174.600295689, 848.478922354, 209.320728392, 172.874557071, 170.619185486, 168.363384028, 167.272076658, 84.4878876791, 115.991813777, 170.468947294, 132.390866647, 201.111528719, 170.23783415
178.165197632, 132.474925176, 128.607511186, 87.1036553168, 161.427098148, 167.504076967, 88.8835703962, 108.290171477, 958.668747333, 190.130121118, 73.833109898, 677.42386688, 171.79478155, 189.025954451, 153.038734244, 153.266374783, 173.631809179, 911.277835194, 209.585632251, 167.121923796, 157.162428805, 135.245132669, 135.004381535, 117.51972814, 96.478337333, 150.192806839, 100.820341736, 152.587577626, 145.924605017
219.585646549, 151.574788031, 140.087839499, 90.5185283681, 165.566319268, 153.613466558, 117.749432596, 137.688277518, 477.304323014, 177.713350118, 51.4241468363, 405.232691431, 172.667151143, 176.997027614, 167.361295895, 170.762063747, 175.253599089, 233.375491153, 222.199209861, 171.399004507, 167.6963841, 168.027603547, 165.235116399, 89.9689689515, 135.851531646, 167.295621186, 146.70028155, 168.165384794, 167.230214963
144.692267406, 112.707411528, 111.738369171, 89.1183628565, 142.275287313, 112.763078848, 66.3438645078, 109.550088077, 217.203483676, 180.00295692, 80.8171620561, 212.384768459, 152.289975445, 148.168246453, 138.023987742, 150.723780176, 171.852610338, 658.378189186, 284.718976202, 152.206713003, 145.964208139, 135.68518679, 133.553597957, 102.73529765, 87.8937512802, 137.955015983, 130.371219423, 173.511646085, 137.889941289
186.244661165, 133.688156132, 133.506523917, 113.813313443, 152.703847987, 118.519668719, 70.5809504432, 131.882696622, 137.308348875, 158.840812876, 94.8596092819, 368.550751688, 152.739662195, 171.394455587, 134.882903212, 143.954061329, 153.722484479, 966.970420418, 264.715097461, 146.862280963, 135.011540492, 158.284698119, 134.855270286, 116.208346093, 114.34549098, 134.874586374, 131.102061757, 227.283246174, 134.856761831
171.036232913, 145.572244755, 135.878028924, 103.342036482, 152.11488506, 149.731002605, 74.6904134554, 127.83164032, 992.723819388, 152.084143982, 27.671162141, 665.334229221, 145.07508794, 146.832278899, 143.405774051, 144.366881736, 159.003285295, 760.283035321, 175.540206214, 144.97531761, 144.387889152, 148.257433908, 142.110736928, 92.290027908, 99.8065904004, 142.914213609, 127.798923964, 154.969821476, 142.900071238
180.03769481, 131.496822888, 123.853784606, 102.742020231, 137.459397291, 138.97597763, 84.8869181481, 115.709140479, 520.238596572, 178.246943623, 94.8955779654, 754.038288329, 164.069159315, 179.256120411, 163.113089857, 163.514967087, 169.770529987, 455.083965087, 169.094466583, 163.892313982, 163.907280228, 165.443771661, 162.339168983, 83.8409822901, 106.391909936, 162.742525624, 129.866222391, 173.190139102, 162.594568121
173.60320994, 138.502827536, 133.212518832, 101.602693551, 147.852375273, 123.323682121, 118.067208112, 127.439829351, 890.887825919, 163.945073759, 57.2986269236, 642.753584571, 156.328982863, 159.370173688, 153.64448243, 153.652554033, 159.228779481, 593.19937979, 239.262951428, 154.463343304, 154.185194303, 152.232601721, 151.596365825, 81.1268302331, 120.06405339, 152.437447238, 130.257707373, 229.269754813, 152.266277798
180.87266732, 146.034890602, 134.998710016, 117.542360756, 165.535939379, 138.865022537, 122.745688029, 130.645690577, 310.847700177, 172.499564213, 106.710941632, 608.2320481, 143.285944932, 152.072480632, 141.385165048, 141.418012433, 160.025679349, 468.542594056, 262.526212424, 142.602326995, 141.777437985, 142.278632766, 139.584108861, 97.5775195719, 123.2297926, 140.368859689, 138.321339954, 187.064567429, 139.727298829
154.437673108, 140.2004387, 140.197064793, 102.709638257, 147.23643098, 160.338282119, 98.5125558768, 140.126153057, 848.414244015, 166.443064148, 36.606713391, 637.389479463, 156.386235854, 155.182579728, 152.286336989, 154.716232936, 170.662514776, 372.950721493, 170.473302942, 154.910281192, 152.378565529, 164.206743477, 152.137975255, 96.2473932981, 128.823618045, 152.240655584, 147.940617211, 177.869659973, 152.218477291
